caseNumber,id,name,status,caseType,year,age,gender,city,county,state,dateAdded,lastVerified,sourceCount,caseUrl,summary
011,alberta-jones,Alberta Jones,unsolved,homicide,1965,34,female,Louisville,Jefferson,KY,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/alberta-jones.html,"Alberta Odell Jones, 34, Louisville and Jefferson County's first Black woman prosecutor and the attorney who negotiated a young Cassius Clay's (Muhammad Ali's) first professional boxing contract, was found in the Ohio River near Fontaine Ferry Park on August 5, 1965. Her rental car was found nearby with blood inside, and an autopsy found she had been beaten with a brick before drowning. Witnesses reported seeing men force a woman into a car earlier that night, and separately reported a car stopped on the Sherman Minton Bridge around 4:35 a.m. The case was added to the DOJ's federal cold-case list in 2018; the DOJ formally closed the file in August 2023, citing the loss of evidence and the deaths of witnesses and original investigators, without identifying a suspect."
012,alonzo-brooks,Alonzo Brooks,unsolved,homicide,2004,23,male,La Cygne,Linn,KS,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/alonzo-brooks.html,"Alonzo Brooks, 23, who was Black and Mexican, disappeared after a party at a rural farmhouse near La Cygne, Kansas on April 3, 2004, where he was one of only three Black attendees among roughly 100 people. His body was found in nearby Middle Creek on May 1, 2004; the original coroner could not determine a cause of death. The FBI and U.S. Attorney's Office reopened the case in 2019 as a suspected hate crime, exhumed his body in 2020, and a 2021 federal forensic examination ruled the death a homicide. A $100,000 reward remains unclaimed."
013,diamond-and-tionda-bradley,Diamond and Tionda Bradley,unsolved,missing_persons,2001,,female,Chicago,Cook,IL,2026-08-21,2026-08-21,7,https://www.unsolvedblackcases.com/cases/diamond-and-tionda-bradley.html,"Sisters Tionda Bradley, 10, and Diamond Bradley, 3, went missing from their family's apartment in the Bronzeville neighborhood of Chicago's South Side on July 6, 2001, while their mother was at work. A note believed to be written by Tionda said the girls had gone to a nearby school and store; family members have said the note's wording seemed too advanced for Tionda's age. Chicago Police and the FBI conducted one of the largest search efforts in city history. Neither sister has been found; the FBI is offering a reward of up to $10,000 for information on their current whereabouts."
014,wharlest-jackson-sr,Wharlest Jackson Sr.,unsolved,homicide,1967,36,male,Natchez,Adams,MS,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/wharlest-jackson-sr.html,"Wharlest Jackson Sr., 36, a Korean War veteran, father of five, and treasurer of the Natchez NAACP, was killed on February 27, 1967 when a bomb planted under his truck exploded, reportedly triggered by his turn signal, as he drove home from his first shift in a new position at the Armstrong Tire and Rubber plant — a role that had previously been held only by white employees. Two years earlier, NAACP president George Metcalfe had survived a similar car bombing at the same plant. The FBI's main suspect was Raleigh ""Red"" Glover, leader of a Klan offshoot known as the Silver Dollar Group; Glover was never charged and died in 1984. The DOJ's Civil Rights Division has since closed its investigation without prosecution."
015,frank-morris,Frank Morris,unsolved,homicide,1964,51,male,Ferriday,Concordia,LA,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/frank-morris.html,"Frank Morris, 51, the Black owner of a shoe repair shop in Ferriday that served both Black and white customers, was killed after two unidentified white men set fire to his shop in the early hours of December 10, 1964 while he slept in a back room. One of the men held Morris at gunpoint and forced him back inside as the fire spread. Morris escaped but suffered burns over 100% of his body and died four days later. He told the FBI his attackers were ""two white friends,"" accompanied by a third man he did not see, but he was never able to identify them by name. The DOJ's file states that FBI informants in 1967 identified the attack as the work of the Silver Dollar Group, a secretive Klan cell formed in the Natchez–Ferriday area around 1964, and named four of its members — E.D. Morace, Tommie Lee Jones, Thor Lee Torgersen, and James Lee Scarborough — as responsible; all four denied involvement when interviewed, and the FBI found no independent evidence to corroborate the informants' accounts. No one was ever charged, and the DOJ closed the case without reaching a conclusion."
016,george-lee,Rev. George Lee,unsolved,homicide,1955,51,male,Belzoni,Humphreys,MS,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/george-lee.html,"Rev. George W. Lee, 51, a Baptist minister, grocer, and co-founder of the Belzoni NAACP branch, was shot and killed while driving in Belzoni on the night of May 7, 1955. Lee was the first Black resident to register to vote in Humphreys County since Reconstruction, and had helped register roughly 90 other Black voters despite repeated threats. His car crashed after gunmen in a passing car fired into it; he died shortly after reaching a hospital. The local sheriff publicly claimed the lead pellets found in Lee's jaw were dental fillings; FBI testing later confirmed they were buckshot. No one was ever prosecuted. FBI files released in 2000 named two White Citizens' Council members, Peck Ray and Joe David Watson Sr., as suspects; both had died in the 1970s."
017,johnnie-mae-chappell,Johnnie Mae Chappell,unsolved,homicide,1964,35,female,Jacksonville,Duval,FL,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/johnnie-mae-chappell.html,"Johnnie Mae Chappell, 35, a domestic worker and mother of ten, was shot and killed on the night of March 23, 1964 while retracing her steps along New Kings Road in Jacksonville's Pickettville neighborhood, searching with two neighbors for a wallet she had dropped, during a night of racial unrest in the city. A car carrying four white men drove past; one of them, J.W. Rich, fired a .22-caliber pistol, fatally wounding her. The case went unsolved for five months until one of the men, Wayne Chessman, approached detectives and confessed, naming Rich as the shooter along with Elmer Kato and James Alex Davis. All four were indicted for first-degree murder, but only Rich stood trial; an all-white jury convicted him of the lesser charge of manslaughter, and he served about three years. The murder weapon went missing before trial. The three other men were never tried; Florida later granted them immunity. The DOJ's Civil Rights Division formally closed its file on August 18, 2014, citing insufficient federal evidence and the state's grant of immunity to the surviving subjects."
018,louis-allen,Louis Allen,unsolved,homicide,1964,44,male,Liberty,Amite,MS,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/louis-allen.html,"Louis Allen, 44, a WWII veteran, logger, and landowner, was shot to death with a shotgun at his own gate in Liberty on January 31, 1964, the night before he was set to leave Mississippi for good. Allen had witnessed the 1961 murder of NAACP voter-registration activist Herbert Lee by state legislator E.H. Hurst, and after initially being coerced into corroborating a self-defense account, later told the FBI that Hurst had shot Lee in cold blood. Word spread that Allen had cooperated with federal investigators, and he was harassed and repeatedly jailed on false charges over the following two years by Amite County Sheriff Daniel Jones, who once broke Allen's jaw with a flashlight. The DOJ's Civil Rights Division formally closed its file on the case in 2015, naming Jones — by then deceased — as its subject."
019,oneal-moore,Oneal Moore,unsolved,homicide,1965,34,male,Varnado,Washington,LA,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/oneal-moore.html,"Oneal Moore, 34, an Army veteran and one of the first two Black deputy sheriffs in Washington Parish, was shot and killed while on patrol near Varnado on the night of June 2, 1965 — one year and a day after he and partner David ""Creed"" Rogers, also Black, were sworn in. A pickup truck with a Confederate flag decal pulled alongside their patrol car and its occupants opened fire; Moore was killed instantly and Rogers was blinded in one eye but survived and radioed a description of the truck. About an hour later, a matching truck was stopped in Tylertown, Mississippi and its driver, known Klansman Ernest Rayford ""Ray"" McElveen, was arrested and charged with murder, but released after nine days on bond raised by fellow Klan members; the charge was ultimately dropped for lack of evidence. McElveen died in 2003. The case remains unsolved."
020,clifton-walker,Clifton Walker,unsolved,homicide,1964,37,male,Woodville,Wilkinson,MS,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/clifton-walker.html,"Clifton Walker, 37, a World War II veteran and father of five, was shot to death in his car on Poor House Road outside Woodville late on the night of February 28, 1964, while driving home from his late shift at the International Paper Company plant in Natchez. His car was ambushed and riddled with close-range shotgun blasts; he was found dead in the vehicle the next afternoon. The killing is believed to be among the first carried out by the newly formed White Knights of the Ku Klux Klan, which was responsible for several other Mississippi civil-rights-era murders. Mississippi Highway Patrol investigators recommended two suspects for arrest in 1964, but the local district attorney declined to prosecute, citing insufficient evidence. The DOJ's Civil Rights Division formally closed its file in 2013, naming three men — Prentiss Mathis, Carl Cavin, and Red Metcalf, all reported deceased — as subjects."
021,willie-edwards-jr,Willie Edwards Jr.,unsolved,homicide,1957,24,male,Montgomery,Montgomery,AL,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/willie-edwards-jr.html,"Willie Edwards Jr., 24, a Winn-Dixie truck driver and father of two, disappeared on the evening of January 22, 1957 after being called back to work to cover another driver's shift in Montgomery. Klansmen, who mistook him for a different Black man they believed was involved with a white woman, pulled him from his truck at gunpoint and forced him, under threat of being shot, to jump from the Tyler-Goodwyn Bridge into the Alabama River. Fishermen found his body three months later; the medical examiner could not determine a cause of death due to decomposition. The case sat dormant until 1976, when a witness named three men — Henry Alexander, Jimmy York, and Raymond Britt — as having forced Edwards to jump; two received immunity for their testimony, but repeated attempts at indictment failed. In 1997, at the family's request, Edwards's body was exhumed and his cause of death was reclassified as homicide by drowning; a 1999 grand jury agreed he was killed by Klan members but still declined to indict, citing insufficient evidence tied to problems in the 1970s investigation. The DOJ closed its file in 2013; all three named men were by then deceased."
022,isadore-banks,Isadore Banks,unsolved,homicide,1954,58,male,Marion,Crittenden,AR,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/isadore-banks.html,"Isadore Banks, 58, a World War I veteran and one of the wealthiest Black landowners in the Arkansas Delta, left home on June 4, 1954 to pay his farmhands and never returned. Four days later, his truck was found abandoned nearby with his shotgun and coat still inside; his body was discovered chained to a tree in a wooded area, burned beyond recognition, with a wound the coroner attributed to a knife or gunshot. There was no sign of robbery or struggle at the scene, and the coroner believed Banks — who weighed nearly 300 pounds — had been killed elsewhere and his body moved, likely by more than one person. A Black-owned cooperative offered a $1,000 reward; no one came forward. Unlike most cases on this archive, no suspect was ever named by investigators at any point — local law enforcement conducted little investigation, and the FBI at the time initially declined to open a file, stating it saw no clear federal jurisdiction."
023,mack-charles-parker,Mack Charles Parker,unsolved,homicide,1959,23,male,Poplarville,Pearl River,MS,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/mack-charles-parker.html,"Mack Charles Parker, 23, an Army veteran and truck driver, was lynched three days before he was scheduled to stand trial on charges of raping a white woman — charges he denied in a letter written from jail, and which rested on an identification the accuser herself said she could not be certain of. Late on April 24, 1959, eight to ten hooded men broke into the Pearl River County jail in Poplarville, reportedly aided by a jailer who provided the keys, and dragged Parker from his cell. He was beaten, driven away, and shot; his body was recovered from the Pearl River on May 4, 1959. An FBI investigation identified more than twenty men involved, several of whom confessed and named other participants, and the FBI turned a full dossier over to Mississippi officials. An all-white county grand jury declined to indict, as did a subsequent federal grand jury, by a single vote. No one was ever charged. Historian Howard Smead has called it ""the last classic lynching in America."""
024,joseph-edwards,Joseph Edwards,unsolved,missing_persons,1964,,male,Vidalia,Concordia,LA,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/joseph-edwards.html,"Joseph ""Joe-Ed"" Edwards, a porter at the Shamrock Motel in Vidalia in his early 20s, disappeared in the early morning hours of July 12, 1964. His car was found abandoned near a local bowling alley days later with a necktie tied into a noose on the steering wheel and blood inside. The FBI later concluded Edwards had likely been targeted after he was seen kissing a white coworker; the woman's boyfriend reported the incident to the Vidalia police chief, who is believed to have alerted a Klan offshoot called the Silver Dollar Group. A witness told the FBI he saw a car matching the group's leader's description stop Edwards's Buick near the bowling alley on the night he vanished. His body has never been found — the only Civil Rights-era case in Louisiana the FBI investigated in which this remains true. The DOJ's Civil Rights Division closed its file in 2013, naming seven subjects, including several Concordia Parish sheriff's deputies and the Silver Dollar Group's leader, all reported deceased."
025,samuel-oquinn,Samuel O'Quinn,unsolved,homicide,1959,58,male,Centreville,Wilkinson,MS,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/samuel-oquinn.html,"Samuel O'Quinn, 58, a businessman who ran a funeral home, a cafe, and farmland in Centreville, was shot twice in the back with a shotgun on the night of August 14, 1959 as he opened the gates to his property; he died on the way to the hospital. No witnesses were identified, and neither state police nor the FBI's investigation at the time named a suspect. Local media reported at the time that O'Quinn was active with the NAACP and speculated his death was politically motivated; a white glove found at the scene was later thought by family to be a White Citizens' Council calling card. A 2012 DOJ memo reviewing the case reached a different conclusion, stating that the limited surviving investigative material ""indicates that O'Quinn may have been murdered by a person or persons interested in obtaining his land"" rather than for political activity — a reminder that even the motive behind a killing can remain genuinely disputed decades later. The DOJ closed its file in 2012 without identifying a suspect."
026,claude-neal,Claude Neal,unsolved,homicide,1934,23,male,Greenwood,Jackson,FL,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/claude-neal.html,"Claude Neal, 23, a farmhand, was lynched near Marianna on the night of October 25–26, 1934, days after being arrested and accused of the murder of a young white woman. Fearing mob violence, Sheriff Flake Chambliss moved Neal between several jails, eventually hiding him roughly 200 miles away in Brewton, Alabama. In the early morning hours of October 26, a mob broke into the Brewton jail and abducted him, driving him back to Jackson County on back roads to avoid law enforcement. Neal was killed hours later; his body was then displayed publicly, hanged from a tree at the Jackson County courthouse in Marianna. When the sheriff cut the body down the next morning and refused demands to rehang it, a mob numbering in the thousands rioted through Marianna for days, attacking Black residents and property; the governor deployed the National Guard to restore order. The lynching had been publicized in advance and drew national attention, becoming a catalyst for the NAACP's campaign for federal anti-lynching legislation. No one was ever charged; the DOJ reopened the case for review in 2011 under the Emmett Till Unsolved Civil Rights Crime Act, by which point all identified participants were deceased."
027,brandon-mcclelland,Brandon McClelland,unsolved,homicide,2008,24,male,Paris,Lamar,TX,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/brandon-mcclelland.html,"Brandon McClelland, 24, was struck and dragged roughly 70 feet beneath a pickup truck on a rural road outside Paris in the early hours of September 16, 2008; his body was found the next morning. He had been on a late-night beer run across the Oklahoma state line with two white acquaintances, Shannon Finley and Charles Ryan Crostley, and an argument reportedly broke out on the drive back over whether Finley was too drunk to keep driving; McClelland got out of the vehicle to walk. A grand jury indicted both Finley and Crostley on murder charges, and Finley was separately indicted for evidence tampering, accused of washing blood from the truck's undercarriage. The case unraveled over the following year amid a lack of eyewitnesses and forensic evidence — no DNA tying McClelland to the truck was ever found — and a separate driver came forward with a sworn statement acknowledging he might have accidentally struck McClelland himself. Prosecutors moved to dismiss the murder charges in 2009, and both men were released. McClelland's family and local civil rights advocates have maintained the killing was a racially motivated hate crime, drawing comparisons to the 1998 dragging death of James Byrd Jr. in nearby Jasper, Texas; no one has ever been convicted."
028,john-allen,John Allen,unsolved,homicide,1864,,male,Des Moines,Polk,IA,2026-08-21,2026-08-21,4,https://www.unsolvedblackcases.com/cases/john-allen.html,"John Allen, an employee of the Demoine House hotel described by contemporary newspapers as “peaceable,” was shot in the head and killed instantly on a Des Moines sidewalk in front of Ensign's Livery Stable on July 8, 1864. Private John McRoberts, a 26-year-old Union soldier on furlough from the 10th Iowa Volunteer Infantry, had been drunk and looking for a fight; witnesses in broad daylight saw him hail Allen, who stopped, then moved on — at which point McRoberts drew his pistol and shot him without provocation. McRoberts was arrested and indicted by a grand jury for murder, but according to an 1898 county history, he “was never placed on trial” and was instead quietly released and sent back to his regiment, which shipped out for Georgia less than a month later. McRoberts survived the Civil War, married, and lived the rest of his life free, dying in Idaho in 1908."
029,nicholas-a-brown,Nicholas A. Brown,unsolved,homicide,2021,33,male,Davenport,Scott,IA,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/nicholas-a-brown.html,"Nicholas A. Brown, 33, was shot on January 30, 2021 after Davenport police responded to a report of a domestic disturbance in the 600 block of Fillmore Street. Officers found Brown with life-threatening gunshot wounds; he was taken to a hospital, where he later died of his injuries. The Iowa Attorney General's office, which tracks intimate-partner homicides statewide, listed Brown among the men killed in such circumstances and noted that no arrests had been made in the case. He was survived by eight children."
030,isaiah-nixon,Isaiah Nixon,unresolved,homicide,1948,28,male,Alston,Montgomery,GA,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/isaiah-nixon.html,"Isaiah Nixon, 28, a farmer, turpentine worker, and WWII veteran, was shot three times in his own front yard in Alston on the evening of September 8, 1948, in front of his wife and six children, hours after voting in the Georgia Democratic primary; he died two days later in a hospital in neighboring Laurens County. Two white brothers, Jim A. Johnson and Johnnie Johnson, drove to the Nixon home and ordered him to come with them; when he refused, Jim Johnson shot him. A local grand jury charged Jim Johnson with murder and Johnnie Johnson as an accessory, and the case drew national NAACP attention, but an all-white jury acquitted Jim Johnson, and prosecutors then dropped the case against his brother. The Nixon family fled to Florida after the killing, and their father's grave in a remote cemetery went unmarked and lost to underbrush for 67 years, until Emory University researchers located it in 2015 with the help of Nixon's daughter, Dorothy Nixon Williams, who was six years old when she witnessed her father's death."
031,orangeburg-massacre,"Samuel Hammond, Henry Smith & Delano Middleton",unresolved,homicide,1968,,male,Orangeburg,Orangeburg,SC,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/orangeburg-massacre.html,"Samuel Hammond Jr., 18, Henry Smith, 18, and Delano Middleton, 17, were shot and killed by South Carolina Highway Patrol officers on the campus of South Carolina State College on the night of February 8, 1968, during the third night of student protests against the segregation of a local bowling alley. Officers fired shotguns loaded with buckshot into a crowd of roughly 200 unarmed students; 27 more were wounded, many shot in the back or through the soles of their feet as they fled. Middleton was a local high school student who had come to the campus to walk his mother, a cafeteria worker, home from work. Nine officers were identified and tried on federal charges of using excessive force; all nine were acquitted. The only person convicted in connection with the events of that week was Cleveland Sellers, a civil rights organizer and one of the wounded, who was convicted of inciting a riot and served time in prison; he received a pardon decades later. The FBI declined to reopen the case when asked in 2007. It is considered the first fatal shooting of student protesters on a U.S. college campus, predating the 1970 Kent State shootings."
032,henry-marrow,"Henry ""Dickie"" Marrow Jr.",unresolved,homicide,1970,23,male,Oxford,Granville,NC,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/henry-marrow.html,"Henry ""Dickie"" Marrow Jr., 23, an Army veteran, walked to Robert Teel's store in Oxford on the evening of May 11, 1970 to buy a Coca-Cola. When Marrow spoke to a young white woman near the store, Teel and two other family members interpreted it as offensive, chased Marrow into the parking lot, beat him, and shot him; he died the next day. At trial that July, an all-white jury heard eyewitnesses identify Larry Teel as the shooter, but a defense witness, Roger Oakley, unexpectedly testified that he had fired the fatal shot himself, by accident. All three men — Robert Teel, Larry Teel, and Oakley — were acquitted on all counts; the prosecutor called the verdict ""absolutely the worst miscarriage of justice I have ever seen."" The killing and acquittal set off riots and arson in Oxford and led to an 18-month boycott of white-owned businesses, organized by Marrow's cousin Benjamin Chavis, that eventually forced the desegregation of the town's public facilities. The case is the subject of Timothy B. Tyson's book ""Blood Done Sign My Name"" and its 2010 film adaptation."
033,donna-ann-reason,Donna Ann Reason,unsolved,homicide,1970,9,female,Chester,Delaware,PA,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/donna-ann-reason.html,"Donna Ann Reason, 9, was killed just after midnight on May 19, 1970 when someone threw a Molotov cocktail through the living room window of her family's newly purchased home in Chester, setting it ablaze; two of her siblings escaped through an upstairs window, but Donna did not survive the fire. Her parents, Gloria and Robert Reason, were a mixed-race couple living in an integrated neighborhood, though her father told a local newspaper he did not believe the family's race played a role, noting other interracial couples lived nearby. Police told reporters at the time that a nearby home belonging to a district justice of the peace, which officers had been assigned to guard, may have been the attack's actual intended target. A coroner's jury ordered homicide charges against whoever was responsible, but no one was ever charged. The FBI reviewed the case under the Emmett Till Unsolved Civil Rights Crime Act following a referral; the DOJ's Civil Rights Division closed its file in February 2025, stating it found no evidence the crime was racially motivated and that the statute of limitations had run on any federal hate crime charges in any case. A state homicide investigation reportedly remains open."
034,elbert-williams,Elbert Williams,unsolved,homicide,1940,31,male,Brownsville,Haywood,TN,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/elbert-williams.html,"Elbert Williams, 31, a laundry worker and charter member of the NAACP's newly formed Brownsville branch, was abducted from his home on the night of June 20, 1940 by Haywood County Sheriff Samuel ""Tip"" Hunter, along with fellow NAACP member Thomas Davis, and taken to the local jail for questioning about the chapter's activities — weeks after Williams and other members had attempted, unsuccessfully, to register to vote. Davis was released into a waiting mob but escaped unharmed; Williams was never seen alive again. His mutilated body was pulled from the Hatchie River three days later and buried in an unmarked grave. A six-member, all-white coroner's jury refused to return any indictments, and no cause of death was ever officially determined. In the following months, as many as 40 Black families fled Brownsville under threat of violence, Black residents were barred from meeting even for church services, and two more Black men were beaten to death by the same night marshal involved in Williams's abduction; the local NAACP branch dissolved and did not reorganize until 1961. NAACP Special Counsel Thurgood Marshall personally investigated and was sharply critical of the federal government's investigation and its failure to prosecute. Williams is considered the first known NAACP member killed for his civil rights activism, and his killing is regarded as the last documented lynching in Tennessee history. Haywood County reopened a state investigation into the case in 2018."
035,eddie-cook,Eddie Cook,unsolved,homicide,1965,53,male,Detroit,Wayne,MI,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/eddie-cook.html,"Eddie Cook, 53, a city sanitation worker, father of three, and grandfather, was shot in the chest before dawn on November 7, 1965, while walking near his home in midtown Detroit after stopping in the area for coffee. A car carrying four or five white youths pulled alongside and someone inside fired a shotgun blast at him before speeding away; Cook died at the hospital within the hour. Police at the time theorized the shooting may have been retaliation for an unrelated incident earlier that day, or an accidental hit during a fight between rival gangs. Detroit's mayor publicly condemned the killing and Cook's union offered a reward, and homicide detectives logged more than 1,000 investigative hours interviewing dozens of young people who claimed to have information — but by their own account, none of it led anywhere. No one was ever identified as a suspect, and the DOJ closed its file in 2020 without identifying who fired the shot or who else was in the car."
036,lee-edward-culbreath,Lee Edward Culbreath,unsolved,homicide,1965,14,male,Portland,Ashley,AR,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/lee-edward-culbreath.html,"Lee Edward Culbreath, 14, was shot and killed outside a café in Portland on December 5, 1965, while waiting for a friend who had gone to look at a Christmas tree at a nearby store. Ed Vail, a white man who had been drinking heavily with his brother James, fired three shots at Culbreath through the open window of their pickup truck as they drove by; Culbreath was struck once in the chest and managed to run inside the café before collapsing, dying of internal bleeding. Both brothers were arrested about 20 minutes later at a state trooper's roadblock; troopers testified both men admitted to being Klan members, though both later denied it. Ed Vail was tried, and a jury of eleven white men and one Black man found him guilty of second-degree murder; he was sentenced to 21 years. Arkansas declined to prosecute James Vail the following year, and no charges were ever brought against him. Neither newspaper reports nor the DOJ's later review identified any specific reason for the attack."
